,User_Name,Attempt_1_score,Attempt_2_score,Attempt_3_score,Total_score
347,Anay Sangha,27,30,23,80
50,Yashvi Chahal,31,28,21,80
225,Inaaya  Raju,28,22,30,80
367,Ira Shanker,24,25,31,80
214,Fateh Loke,27,29,24,80
23,Hridaan Sangha,28,26,26,80
381,Aayush Dalal,24,22,34,80
382,Myra Devi,29,24,27,80
124,Tanya Bala,27,28,25,80
1153,Bhamini Agarwal,25,30,25,80
181,Ishita Chokshi,34,21,25,80
1184,Kabir Kashyap,30,28,22,80
418,Hrishita Cheema,27,30,23,80
176,Tiya Maharaj,27,23,30,80
392,Arhaan Goyal,26,29,25,80
164,Samar Seshadri,21,30,29,80
185,Lakshit Singhal,24,31,25,80
1036,Anika Chada,28,25,26,79
643,Sara Ray,28,23,28,79
816,Tarini Toor,31,26,22,79
650,Ranbir Krishnamurthy,28,20,31,79
276,Ela Desai,29,24,26,79
835,Taran Rastogi,26,25,28,79
680,Samiha Saraf,28,29,22,79
692,Veer Apte,30,27,22,79
252,Ehsaan Barad,25,24,30,79
120,Zara Halder,27,25,27,79
880,Armaan Yohannan,30,19,30,79
878,Zoya Deo,31,24,24,79
234,Farhan Varty,29,23,27,79
215,Ryan Bumb,25,26,28,79
1070,Samar Dube,23,29,27,79
851,Samar Jain,24,26,29,79
791,Ela Vig,31,23,25,79
632,Mishti Konda,26,24,29,79
752,Alia Karnik,26,26,27,79
420,Ritvik Joshi,31,23,25,79
150,Lakshay Sawhney,28,26,25,79
1172,Yashvi Ray,27,27,25,79
905,Neelofar Wali,29,21,29,79
174,Arhaan Andra,21,30,28,79
1142,Pranay Keer,29,25,25,79
1109,Dhanuk Tandon,26,30,23,79
498,Kartik Lall,30,24,25,79
501,Renee Ray,26,26,27,79
1138,Kismat Ray,25,24,30,79
461,Vardaniya Subramaniam,26,22,31,79
1189,Stuvan Dash,23,31,25,79
363,Ela Varughese,31,27,21,79
575,Amira Krishna,22,26,31,79
584,Tanya Uppal,25,30,24,79
64,Kimaya Ganesan,26,25,28,79
9,Kimaya Wali,23,29,27,79
611,Rasha Ramesh,28,28,23,79
928,Veer Swaminathan,34,26,19,79
618,Yakshit Batra,29,25,25,79
72,Fateh Sachdeva,27,26,26,79
446,Arhaan Hari,24,28,27,79
1113,Nirvi Halder,25,26,28,79
1038,Faiyaz Sabharwal,30,19,29,78
145,Tanya Issac,29,28,21,78
998,Renee Vaidya,27,28,23,78
836,Inaaya  Agate,24,29,25,78
992,Lavanya Dixit,25,25,28,78
12,Ryan Bhasin,24,28,26,78
13,Uthkarsh Kala,27,30,21,78
21,Anya Baral,25,24,29,78
87,Ela Gandhi,32,21,25,78
137,Umang Shere,23,26,29,78
1019,Nirvaan Subramaniam,23,29,26,78
868,Shray Dixit,22,33,23,78
831,Suhana Kapoor,24,26,28,78
28,Tushar Rajagopal,25,25,28,78
1020,Taran Srivastava,28,22,28,78
941,Chirag Jani,26,23,29,78
936,Faiyaz Krishna,24,28,26,78
66,Taran Chopra,24,31,23,78
105,Dhruv Borra,25,25,28,78
76,Lagan Barad,26,28,24,78
899,Umang Grewal,24,26,28,78
875,Nehmat Raman,28,26,24,78
426,Lavanya Lad,29,25,24,78
821,Eva Gade,23,27,28,78
1039,Yasmin Chada,24,28,26,78
622,Parinaaz Sastry,25,26,27,78
298,Mannat Raja,26,28,24,78
303,Madhav Gera,25,22,31,78
1144,Aaina Banik,26,24,28,78
598,Ayesha Wadhwa,28,29,21,78
592,Ojas Vasa,27,29,22,78
587,Arhaan Kalla,26,27,25,78
580,Pari Swaminathan,29,25,24,78
565,Gatik Mane,25,32,21,78
539,Shanaya Dixit,22,29,27,78
368,Abram Mani,28,26,24,78
371,Divij Thakkar,20,30,28,78
507,Indrajit Vyas,22,27,29,78
387,Urvi Chaudhari,27,25,26,78
466,Jivika Dani,30,24,24,78
458,Nishith Bains,26,24,28,78
398,Purab Sengupta,26,32,20,78
1118,Romil Sen,21,31,26,78
451,Rania Sampath,26,26,26,78
1092,Zoya Sood,31,23,24,78
624,Hunar Chanda,25,27,26,78
1042,Darshit Shanker,28,21,29,78
180,Tarini Keer,27,23,28,78
809,Vardaniya Bhakta,27,22,29,78
1078,Kashvi Borde,20,27,31,78
696,Ojas Raj,26,25,27,78
238,Mehul Mandal,29,26,23,78
206,Urvi Bawa,27,24,27,78
796,Vihaan Raval,23,28,27,78
785,Keya Trivedi,30,24,24,78
781,Nirvi Bhattacharyya,25,22,31,78
783,Ela Varghese,29,22,27,78
1175,Shray Bhatnagar,28,23,26,77
1179,Raunak Bahri,28,27,22,77
1178,Advik Batra,24,26,27,77
1015,Jiya Salvi,28,24,25,77
1155,Kaira Ravi,25,20,32,77
1082,Trisha Golla,32,24,21,77
1193,Hunar Bali,24,24,29,77
1057,Jayant Ganesan,28,26,23,77
1067,Jivika Chanda,25,24,28,77
1170,Riya Shenoy,23,24,30,77
1032,Tejas Zacharia,27,25,25,77
1157,Khushi Ganguly,33,20,24,77
1,Taran Issac,25,29,23,77
610,Yakshit Sheth,25,23,29,77
965,Adah Lata,25,26,26,77
472,Adah Behl,29,24,24,77
419,Aaryahi Chana,31,21,25,77
407,Tara Gupta,24,28,25,77
385,Stuvan Doshi,24,25,28,77
376,Divij Sama,23,27,27,77
359,Dishani Ramaswamy,24,22,31,77
321,Shray Sidhu,30,25,22,77
293,Vardaniya Dayal,28,19,30,77
283,Kashvi Soni,24,32,21,77
279,Yakshit Sidhu,30,23,24,77
257,Shray Shere,24,26,27,77
253,Samar Khurana,27,28,22,77
201,Anay Raval,28,24,25,77
184,Alia Bawa,26,21,30,77
183,Madhav Chhabra,26,25,26,77
179,Armaan Bala,27,26,24,77
153,Lagan Kapoor,29,21,27,77
152,Ahana  Das,24,25,28,77
48,Ishita Ganesh,24,31,22,77
35,Faiyaz Sarin,29,24,24,77
452,Nitara Sharma,31,25,21,77
491,Aaryahi Kari,29,25,23,77
950,Himmat Bail,23,27,27,77
528,Zara Bora,24,24,29,77
932,Hridaan Bhasin,25,20,32,77
930,Zara Borah,25,28,24,77
892,Jayesh Sachdeva,26,24,27,77
879,Yuvraj  Mandal,25,23,29,77
864,Umang Basak,29,24,24,77
858,Nakul Bava,23,25,29,77
840,Ayesha Bahri,26,26,25,77
818,Shlok Saraf,27,22,28,77
776,Anvi Dayal,30,21,26,77
770,Kiara Khurana,23,31,23,77
761,Gatik Mallick,23,28,26,77
759,Yasmin Vyas,24,28,25,77
749,Kavya Bumb,26,27,24,77
747,Zain Saini,21,28,28,77
694,Aaina Chanda,27,25,25,77
647,Tiya Gokhale,25,23,29,77
623,Elakshi Gola,24,28,25,77
612,Yakshit Iyengar,24,28,25,77
7,Bhavin Ram,22,29,26,77
1194,Seher Kashyap,27,24,26,77
