,User_Name,Attempt_1_score,Attempt_2_score,Attempt_3_score,Total_score
413,Priyansh Anne,24,20,22,66
589,Devansh Sridhar,23,20,23,66
731,Saira Wadhwa,20,25,21,66
834,Madhup Dasgupta,25,20,21,66
649,Purab Maharaj,22,24,20,66
737,Kaira Sawhney,27,22,17,66
700,Aarush Sankaran,21,22,23,66
390,Miraya Aurora,24,22,20,66
741,Vritika Bains,27,19,20,66
374,Aarush Bhandari,22,22,22,66
750,Priyansh Tailor,18,26,22,66
599,Adira Gupta,25,19,22,66
903,Manjari Devan,20,21,25,66
441,Samar Chaudry,23,19,24,66
799,Uthkarsh Dhar,21,19,26,66
689,Jivin Dyal,25,18,23,66
489,Rohan Bhatia,22,24,20,66
574,Manikya Kala,21,22,23,66
682,Navya Kala,23,21,22,66
678,Vedika Hora,18,27,21,66
798,Diya Som,23,18,25,66
527,Mehul Dayal,24,18,24,66
634,Akarsh Chandran,24,23,19,66
644,Adah Sahni,22,21,23,66
948,Yasmin Chaudhry,24,21,21,66
767,Hrishita Sibal,21,22,23,66
178,Ira Seth,22,23,21,66
102,Anahita Subramaniam,27,19,20,66
62,Nehmat Rajagopalan,21,21,24,66
1099,Ayesha Bumb,20,21,25,66
212,Nitara Seth,22,26,18,66
1128,Romil Tata,23,20,23,66
146,Vanya Joshi,13,30,23,66
1034,Priyansh Sawhney,20,21,25,66
268,Umang Shah,20,22,24,66
116,Arhaan Anne,20,21,25,66
103,Anvi Bhat,17,25,24,66
1017,Krish Sundaram,18,25,23,66
108,Rati Dara,28,16,22,66
1106,Aayush Sathe,25,23,18,66
1111,Kanav Rastogi,21,18,27,66
1022,Samarth Srivastava,16,25,25,66
1009,Aaina Randhawa,25,18,23,66
1141,Ayesha Sanghvi,26,19,21,66
280,Aradhya Sidhu,22,26,18,66
54,Mehul Bora,25,25,16,66
1143,Piya Manne,24,20,22,66
1098,Krish Dutta,23,20,23,66
1168,Anaya Majumdar,17,28,21,66
39,Myra Dash,23,20,23,66
141,Jiya Mann,24,24,18,66
1064,Prisha Gade,24,24,18,66
983,Krish Rege,21,20,25,66
971,Parinaaz Ravel,25,17,24,66
1169,Ivan Lal,21,24,21,66
1079,Myra Butala,21,24,21,66
194,Anvi Hegde,24,22,20,66
186,Jayesh Zacharia,16,24,26,66
229,Saanvi Babu,21,18,27,66
585,Divij Amble,20,22,23,65
96,Renee Anand,18,23,24,65
802,Alia Sarna,18,24,23,65
99,Faiyaz Borah,23,23,19,65
671,Tushar Bassi,20,19,26,65
1131,Vardaniya Iyer,21,23,21,65
695,Madhup Sachdeva,21,25,19,65
705,Jhanvi Loke,23,21,21,65
30,Lakshay Sridhar,24,20,21,65
773,Dhruv Jain,25,20,20,65
732,Krish Bains,25,23,17,65
17,Aniruddh Balasubramanian,19,26,20,65
4,Veer Swamy,13,26,26,65
144,Tushar Lalla,20,18,27,65
339,Miraan Madan,21,27,17,65
161,Saanvi Bali,21,25,19,65
1005,Hridaan Kamdar,21,22,22,65
277,Shaan Borra,27,20,18,65
845,Advika Sani,23,22,20,65
911,Lakshay Mammen,24,17,24,65
918,Trisha Kale,24,20,21,65
282,Aaryahi Magar,22,19,24,65
435,Anaya Shere,25,24,16,65
946,Trisha Mangat,26,17,22,65
488,Hridaan Vora,23,17,25,65
414,Veer Verma,23,23,19,65
997,Veer Ram,24,20,21,65
964,Urvi Seshadri,24,22,19,65
337,Aarna Maharaj,19,18,28,65
373,Lavanya Saran,19,27,19,65
362,Diya Yogi,21,21,23,65
1011,Saira Handa,14,26,25,65
484,Aradhya Date,18,26,21,65
877,Divit Dutt,23,20,22,65
358,Madhav Divan,19,21,25,65
1018,Ivana Kalita,19,21,25,65
529,Madhup Chaudhary,16,31,18,65
532,Vivaan Mane,24,18,23,65
516,Nishith Chahal,18,22,25,65
554,Divij Dua,23,19,23,65
557,Prerak Batta,19,25,21,65
898,Kismat Dada,21,20,23,64
842,Amira Boase,22,27,15,64
962,Drishya Hari,25,15,24,64
1173,Vardaniya Bhalla,24,21,19,64
843,Farhan Bhardwaj,19,22,23,64
1171,Aarush Buch,25,20,19,64
771,Nirvaan Buch,24,21,19,64
1056,Rasha Subramanian,24,21,19,64
993,Sara Thaker,21,24,19,64
1101,Aaryahi Deshpande,21,21,22,64
1105,Samiha Sama,21,22,21,64
943,Rhea Kumar,20,19,25,64
912,Azad Banerjee,21,23,20,64
803,Krish Upadhyay,21,21,22,64
1126,Advik Wali,25,25,14,64
597,Samiha Chakraborty,24,16,24,64
1192,Parinaaz Mander,19,19,26,64
82,Jivin Chaudry,19,25,20,64
65,Vaibhav Char,23,20,21,64
199,Uthkarsh Wable,20,22,22,64
338,Krish Keer,22,19,23,64
570,Indranil Kibe,22,21,21,64
521,Azad Lalla,27,18,19,64
519,Drishya Kumar,17,30,17,64
594,Jayesh Dhawan,22,24,18,64
126,Advika Bali,23,19,22,64
493,Samar Saha,24,17,23,64
77,Heer Dugar,17,27,20,64
558,Anay Bakshi,21,21,22,64
318,Ayesha Dara,21,20,23,64
26,Alia Bedi,19,22,23,64
698,Urvi Jani,20,24,20,64
728,Pari Gokhale,22,18,24,64
56,Elakshi Vyas,21,21,22,64
916,Tiya Bajaj,19,21,23,63
881,Tushar Thakkar,20,18,25,63
994,Abram Lal,23,23,17,63
295,Samiha Reddy,14,21,28,63
1049,Trisha Seth,25,24,14,63
273,Samar Lala,19,27,17,63
239,Farhan Shah,21,20,22,63
1048,Sahil Sem,21,21,21,63
228,Vedika Sehgal,22,18,23,63
467,Indranil Mani,23,20,20,63
549,Rati Singhal,22,20,21,63
748,Hazel Sarma,18,20,25,63
1081,Tejas Sem,22,22,19,63
852,Vivaan Bhandari,19,20,24,63
123,Charvi Balan,22,18,23,63
763,Anika Salvi,17,24,22,63
764,Darshit Sabharwal,21,21,21,63
44,Trisha Dutta,19,22,22,63
792,Khushi Bandi,25,18,20,63
795,Zeeshan Bhagat,19,18,26,63
109,Anaya Sangha,23,16,24,63
977,Jayant Sengupta,27,17,19,63
806,Lavanya Hayer,18,23,22,63
837,Mishti Bhattacharyya,18,25,20,63
1091,Kanav Saini,18,24,21,63
122,Yakshit Dar,22,18,22,62
210,Umang Aggarwal,18,22,22,62
197,Manikya Seth,24,16,22,62
129,Suhana Sule,21,19,22,62
1000,Divyansh Handa,20,19,23,62
42,Neysa Soman,22,19,21,62
131,Nehmat Jani,18,23,21,62
987,Himmat Raju,19,24,19,62
326,Ira Chakraborty,19,23,20,62
233,Kiara Ramesh,18,26,18,62
333,Nayantara Dixit,26,18,18,62
2,Jayant Sarma,21,25,16,62
485,Raghav Baral,23,19,20,62
447,Hazel Sura,21,22,19,62
894,Mahika Sani,20,22,20,62
619,Kavya Ramaswamy,21,19,22,62
602,Nakul Kurian,20,20,22,62
938,Nayantara Sahota,21,22,19,62
630,Aayush Sethi,21,21,20,62
940,Navya Dar,23,22,17,62
722,Ehsaan Kar,23,16,23,62
422,Keya Wagle,24,15,23,62
952,Purab Ganesh,18,22,22,62
344,Miraan Sehgal,23,21,18,62
1075,Darshit Krishnan,17,23,21,61
205,Umang Master,22,22,17,61
330,Alia Savant,14,24,23,61
111,Anika Sood,24,17,20,61
200,Trisha Chadha,21,20,20,61
923,Yasmin Basu,19,19,23,61
801,Madhav Sarma,20,21,20,61
787,Aaina Loke,24,17,20,61
287,Jivika Karnik,21,22,18,61
187,Adira Mand,22,15,23,60
61,Adira Kale,18,23,19,60
782,Akarsh Kakar,20,22,18,60
593,Kimaya Kuruvilla,21,18,21,60
1158,Anahita Dada,17,20,23,60
6,Anay Sandal,22,20,18,60
166,Ritvik Sankar,24,17,19,60
760,Jayesh Ravi,20,15,25,60
526,Romil Sachdeva,25,18,17,60
885,Myra Anne,15,23,22,60
509,Aarna Mander,22,18,20,60
245,Divyansh Goswami,25,18,17,60
586,Devansh Barman,20,17,22,59
356,Prerak Edwin,20,24,15,59
3,Krish Khalsa,24,18,17,59
27,Madhav Wagle,15,18,26,59
646,Yakshit Brar,19,20,20,59
1152,Vritika Kale,19,21,19,59
1006,Fateh Baria,21,16,21,58
742,Dhruv Deo,20,19,19,58
442,Aradhya Issac,19,20,19,58
848,Piya Ranganathan,19,17,22,58
278,Zeeshan Borah,21,21,16,58
220,Anay Dhawan,22,24,12,58
566,Nishith Seshadri,18,15,24,57
829,Hansh Borra,19,13,25,57
289,Anaya Sem,20,16,20,56
1114,Kismat Kuruvilla,18,22,16,56
675,Vihaan Hayer,24,19,13,56
463,Myra D’Alia,22,16,17,55
1190,Zaina Agrawal,18,17,19,54
999,Ivan Gara,15,19,17,51
